ID,Birth date,Birth place,Highschool graduation date,Highschool,Studies level,Degree,ESB entry date,Bac type,Current class,Semester 1 class,Degree level,Gender,Nationality,Class level,Previous class,Previous year result,Highschool graduation grade,Final score,Region
ID350,2004,Menzah 6,2023,Lycee Ariana,0.0,LBC,2023,Bac Economie,2-LBC-2,2-LBC-2,2,M,TUNISIENNE,2,1-LBC-5,Admis(e) - Passable,10.38,-1.0,Ariana
ID351,2003,Gabès,2023,Lycee Abou Loubeba Gabès,0.0,LSG,2023,Bac Economie,2-LSG-6,2-LSG-6,2,F,TUNISIENNE,2,1-LSG-6,Admis(e),11.7,-1.0,Gabès
ID352,2004,Tunis,2024,Lycee L'Aouina,0.0,LSG,2024,Bac Economie,1-LSG-3,1-LSG-3,1,F,TUNISIENNE,1,External,Admis(e),11.48,-1.0,Tunis
ID353,2001,Manzel Temim,2022,Lycee Citée Bousten Kelibia,0.0,LBC,2023,Bac Sciences,2-LBC-7,2-LBC-7,2,F,TUNISIENNE,2,1-LBC-14,Admis(e) - Passable,10.95,-1.0,Nabeul
ID354,2001,Sfax,2020,Lycee Sfax,3.0,MKD,2023,Bac Economie,2-MKD-1,2-MKD-1,2,F,TUNISIENNE,5,1-MKD-1,Admis(e) - Bien,10.61,-1.0,Sfax
ID355,2001,Tunis,2022,Lycee Tunis,0.0,LSG,2022,Bac Economie,3-LSG-4,3-LSG-4,3,M,TUNISIENNE,3,2-LSG-6,Admis(e),10.61,-1.0,Tunis
ID356,2005,Kebili,2024,Lycee Kebili,0.0,LSG,2024,Bac Sciences,1-LSG-3,1-LSG-3,1,F,TUNISIENNE,1,External,Admis(e),11.79,-1.0,Kébili
ID357,2004,Tunis,2023,Lycee Beja,0.0,LBC,2023,Bac Sciences,2-LBC-8,2-LBC-8,2,M,TUNISIENNE,2,1-LBC-11,Admis(e) - Passable,10.05,-1.0,Béja
ID358,2000,Soliman,2020,Lycee Route De La Plage Soliman,3.0,MDSI,2023,Bac Sciences,2-MDSI-3,2-MDSI-3,2,F,TUNISIENNE,5,1-MDSI-3,Admis(e) - Bien,10.98,-1.0,Nabeul
ID359,2004,El Aalia,2023,Lycee El Aalia,0.0,LSG,2023,Bac Economie,2-LSG-5,2-LSG-5,2,M,TUNISIENNE,2,1-LSG-7,Admis(e),10.02,-1.0,Bizerte
ID360,2004,Tunis,2024,Lycee Al Amal Megrine,0.0,LBC,2024,Bac Economie,1-LBC-13,1-LBC-13,1,M,TUNISIENNE,1,External,Admis(e),11.15,-1.0,Ben Arous
ID361,2004,Tunis,2023,Lycee Lycé El Aalia,0.0,LSG,2023,Bac Economie,2-LSG-5,2-LSG-5,2,M,TUNISIENNE,2,1-LSG-5,Admis(e) - Missing credits,9.99,-1.0,Bizerte
ID362,2006,Tunis,2024,Lycee Institut Francaisde Tunisie,0.0,LSG,2024,Bac Economie,1-LSG-1,1-LSG-1,1,F,TUNISIENNE,1,External,Admis(e),14.72,-1.0,Tunis
ID363,2001,La Marsa,2020,Lycee Carthage Dermech,3.0,MDSI,2023,Bac Sciences,2-MDSI-3,2-MDSI-3,2,M,TUNISIENNE,5,1-MDSI-3,Admis(e) - Passable,10.31,-1.0,Tunis
ID364,2004,Ariana,2024,Lycee Kalaat El-Andalous,0.0,LSG,2024,Bac Economie,1-LSG-3,1-LSG-3,1,F,TUNISIENNE,1,External,Admis(e),10.71,-1.0,Ariana
ID365,2003,Kelibia,2022,Lycee Al Fekir Esprit,0.0,LSG,2022,Bac Sciences,3-LSG-6,3-LSG-6,3,F,TUNISIENNE,3,2-LSG-3,Admis(e) - Bien,11.23,-1.0,Ariana
ID366,2001,Kelibia,2021,Lycee Menzah 6,0.0,LSG,2023,Bac Economie,2-LSG-3,2-LSG-3,2,M,TUNISIENNE,2,1-LSG-3,Admis(e) - Passable,11.01,-1.0,Ariana
ID367,2001,Tunis,2022,Lycee Ibn Abi Dhief,0.0,LSG,2022,Bac Economie,3-LSG-1,3-LSG-1,3,F,TUNISIENNE,3,2-LSG-1,Admis(e) - Passable,9.0,-1.0,Tunis
ID368,1999,Tunis,2019,Lycee Manouba,0.0,BA,2023,Bac Sciences,2-BA-6,2-BA-6,2,M,TUNISIENNE,5,1-BA-6,Admis(e) - Passable,9.77,47.42,La Manouba
ID369,2000,Houmet Souk-Jerba,2019,Lycee Tunisie,3.0,BA,2023,Bac Economie,2-BA-4,2-BA-4,2,M,TUNISIENNE,5,1-BA-4,Admis(e) - Passable,10.07,-1.0,Ariana
ID370,2002,La Marsa,2020,Lycee Asad Ibn Lfourat,3.0,BA,2023,Bac Economie,2-BA-2,2-BA-2,2,F,TUNISIENNE,5,1-BA-5,Admis(e) - Passable,9.84,-1.0,La Manouba
ID371,1999,Tunis,2020,Lycee Sadiki,3.0,MDSI,2023,Bac Sciences,2-MDSI-6,2-MDSI-6,2,F,TUNISIENNE,5,2-DSI-A3-2,Admis(e) - Bien,10.0,-1.0,Tunis
ID372,2002,Kalaat El Andalous,2021,Lycee Ariana,0.0,LBC,2021,Bac Math,3-LBC-BI-4,3-LBC-BI-4,3,F,TUNISIENNE,3,2-LBC-BIS7,Admis(e) - Bien,10.65,-1.0,Ariana
ID373,2003,Ariana,2022,Lycee Pere Blanc,0.0,LBC,2024,Bac Economie,1-LBC-7,1-LBC-7,1,M,TUNISIENNE,1,External,Admis(e),10.65,-1.0,Ariana
ID374,2003,Tunis,2022,Lycee Rades,0.0,LBC,2022,Bac Informatique,3LBC-BIS-1,3LBC-BIS-1,3,M,TUNISIENNE,3,2-LBC-BIS1,Admis(e) - Passable,11.35,-1.0,Ben Arous
ID375,2001,Tunis,2021,Lycee Les Pères Blancs,3.0,MDSI,2021,Bac Economie,1-MDSI-3,1-MDSI-3,1,M,TUNISIENNE,4,3-LSG-4,Admis(e) - Passable,11.0,-1.0,Tunis
ID376,1996,Tunis,2015,Lycee Ezzahra,3.0,MKD,2023,Bac Math,2-MKD-1,2-MKD-1,2,F,TUNISIENNE,5,1-MKD-1,Admis(e) - Bien,10.17,-1.0,Ben Arous
ID377,2003,El Menzah 6,2023,Lycee Privé Dar El Maaref,0.0,LBC,2024,Bac Economie,1-LBC-3,1-LBC-3,1,M,TUNISIENNE,1,External,Admis(e),12.96,-1.0,Ariana
ID378,2004,Bizerte,2024,Lycee Bizerte,0.0,LBC,2024,Bac Technique,1-LBC-2,1-LBC-2,1,M,TUNISIENNE,1,External,Admis(e),10.32,-1.0,Bizerte
ID379,1999,La Marsa,2020,Lycee Tunis,3.0,MDSI,2023,Bac Economie,2-MDSI-2,2-MDSI-2,2,M,TUNISIENNE,5,1-MDSI-2,Admis(e) - Passable,10.61,-1.0,Tunis
ID380,2001,Sfax,2020,Lycee Habib Thameur Sfax,3.0,BA,2021,Bac Economie,1-BA-3,1-BA-3,1,F,TUNISIENNE,4,External,Admis(e),11.71,-1.0,Sfax
ID381,2005,Tunis,2024,Lycee Tunis,0.0,LBC,2024,Bac Economie,1-LBC-7,1-LBC-7,1,M,TUNISIENNE,1,External,Admis(e),9.28,-1.0,Tunis
ID382,2002,Gabes,2023,Lycee Gabes El Madina,0.0,LSG,2024,Bac Economie,1-LSG-1,1-LSG-1,1,F,TUNISIENNE,1,External,Admis(e),10.79,-1.0,Gabès
ID383,2002,Menzel Temime,2022,Lycee Kélibia,0.0,LBC,2022,Bac Economie,2-LBC-1,2-LBC-1,2,M,TUNISIENNE,2,1-LBC-4,Admis(e) - Missing credits,9.96,-1.0,Nabeul
ID384,2004,Sfax,2022,Lycee Boumhel,0.0,LBC,2024,Bac Economie,1-LBC-12,1-LBC-12,1,F,TUNISIENNE,1,External,Admis(e),11.32,-1.0,Ben Arous
ID385,2002,Ariana,2021,Lycee Ariana,0.0,LBC,2021,Bac Informatique,3LBC-BIS-7,3LBC-BIS-7,3,M,TUNISIENNE,3,2-LBC-BIS8,Admis(e) - Passable,11.17,-1.0,Ariana
ID386,2006,Sousse,2024,Lycee Les Elites Sousse,0.0,LSG,2024,Bac Sciences,1-LSG-3,1-LSG-3,1,M,TUNISIENNE,1,External,Admis(e),10.62,-1.0,Sousse
ID387,2000,Ben Arous,2018,Lycee Ennasr,3.0,BA,2023,Bac Math,2-BA-1,2-BA-1,2,F,TUNISIENNE,5,1-BA-1,Admis(e) - Bien,13.24,-1.0,Ariana
ID388,2001,Bardo,2020,Lycee Tunis,3.0,MDSI,2023,Bac Sciences,2-MDSI-2,2-MDSI-2,2,F,TUNISIENNE,5,1-MDSI-2,Admis(e) - Passable,11.0,-1.0,Tunis
ID389,2000,Menzah 1,2023,Lycee Privé El Menzah 6 Ariana,0.0,LBC,2023,Bac Economie,2-LBC-5,2-LBC-5,2,M,TUNISIENNE,2,2-LBC-BIS3,Exclu(e),11.0,-1.0,Tunis
ID390,2003,Tunis,2022,Lycee Carthage,0.0,LBC,2022,Bac Informatique,3LBC-BIS-7,3LBC-BIS-7,3,M,TUNISIENNE,3,2-LBC-BIS8,Admis(e) - Passable,11.02,-1.0,Tunis
ID391,2002,Tunis,2022,Lycee Tunis,0.0,LBC,2022,Bac Sciences,3LBC-BIS-6,3LBC-BIS-6,3,M,TUNISIENNE,3,2-LBC-BIS6,Admis(e) - Passable,11.24,-1.0,Tunis
ID392,2002,Beja,2021,Lycee L Wafa Ghazela,3.0,MKD,2023,Bac Technique,1-MKD-1,1-MKD-1,1,F,TUNISIENNE,4,3LBC-BIS-1,Redouble,9.0,-1.0,Tunis
ID393,2001,Tunis,2020,Lycee Tunis,3.0,BA,2024,Bac Economie,1-BA-4,1-BA-4,1,M,TUNISIENNE,4,External,Admis(e),11.51,-1.0,Tunis
ID394,2003,Tunis,2022,Lycee Tunis,0.0,LBC,2022,Bac Sciences,3-LBC-BI-4,3-LBC-BI-4,3,F,TUNISIENNE,3,2-LBC-BI-2,Admis(e) - Bien,11.3,-1.0,Tunis
ID395,2001,Marsa,2021,Lycee Lyee Khaireedine Becha,3.0,CCA,2021,Bac Sciences,1-MCCA-1,1-MCCA-1,1,M,TUNISIENNE,4,3-LSC-1,Admis(e) - Bien,11.0,-1.0,Tunis
ID396,2002,Tunis,2021,Lycee Cité La Gazelle,3.0,BA,2024,Bac Economie,1-BA-3,1-BA-3,1,F,TUNISIENNE,4,External,Admis(e),14.18,-1.0,Ariana
ID397,2005,Tunis,2024,Lycee Aouina,0.0,LBC,2024,Bac Economie,1-LBC-9,1-LBC-9,1,M,TUNISIENNE,1,External,Admis(e),12.57,-1.0,Tunis
ID398,2004,Tunis,2023,Lycee Privee L'Ideal,0.0,LBC,2024,Bac Economie,1-LBC-9,1-LBC-9,1,M,TUNISIENNE,1,External,Admis(e),11.92,-1.0,Ariana
ID399,2000,Houmet Essouk Djerba,2021,Lycee Ibn Arafa Houmet Essouk Djerba,0.0,LBC,2024,Bac Economie,1-LBC-10,1-LBC-10,1,M,TUNISIENNE,1,External,Admis(e),10.98,-1.0,Médenine
ID400,2004,Kalaat El Andalous,2023,Lycee Kalaat Andalos,0.0,LBC,2023,Bac Economie,2-LBC-9,2-LBC-9,2,F,TUNISIENNE,2,1-LBC-16,Admis(e) - Bien,11.3,-1.0,Ariana
ID401,2001,Gafsa,2020,Lycee Privé Ennasr Gafsa,3.0,MDSI,2024,Bac Sciences,1-MDSI-3,1-MDSI-3,1,F,TUNISIENNE,4,External,Admis(e),14.33,-1.0,Gafsa
ID402,2001,Gafsa,2020,Lycee Privee Ennaser Gafsa,3.0,MDSI,2024,Bac Sciences,1-MDSI-3,1-MDSI-3,1,F,TUNISIENNE,4,External,Admis(e),13.31,-1.0,Gafsa
ID403,2001,Tunis,2021,Lycee Technique Ariana,0.0,LSG,2024,Bac Economie,1-LSG-7,1-LSG-7,1,F,TUNISIENNE,1,External,Admis(e),10.66,-1.0,Ariana
ID404,1998,Tunis,2019,Lycee Hammamet,3.0,BA,2024,Bac Economie,1-BA-7,1-BA-7,4,F,TUNISIENNE,4,External,Admis(e),10.0,-1.0,Nabeul
ID405,2002,Indianna Usa,2022,Lycee Tunis,0.0,LSG,2022,Bac Economie,3-LSG-6,3-LSG-6,3,M,TUNISIENNE,3,2-LSG-5,Admis(e) - Passable,10.94,-1.0,Tunis
ID406,2005,Hammem Lif,2024,Lycee Hammem Lif,0.0,LSG,2024,Bac Economie,1-LSG-7,1-LSG-7,1,F,TUNISIENNE,1,External,Admis(e),10.94,-1.0,Ben Arous
ID407,2002,Marsa,2022,Lycee Ennaser,0.0,LSG,2023,Bac Sciences,2-LSG-1,2-LSG-1,2,M,TUNISIENNE,2,2-LSG-2,Redouble,10.66,-1.0,Ariana
ID408,2002,Gafsa,2021,Lycee Pilote Gafsa,0.0,LBC,2024,Bac Technique,1-LBC-1,1-LBC-1,1,F,TUNISIENNE,1,External,Admis(e),12.73,-1.0,Gafsa
ID409,2000,La Marsa,2020,Lycee Tunis,3.0,BA,2023,Bac Economie,2-BA-5,2-BA-5,2,M,TUNISIENNE,5,1-BA-5,Admis(e) - Passable,10.61,-1.0,Tunis
ID410,2003,Tunis,2023,Lycee Ariana,0.0,LSG,2023,Bac Economie,2-LSC-2,2-LSC-2,2,F,TUNISIENNE,2,1-LSG-8,Admis(e) - Passable,10.66,-1.0,Ariana
ID411,2004,Kélibia,2023,Lyceee Abdelaziz Khouja Kélibia,0.0,LSG,2023,Bac Economie,1-LSG-5,1-LSG-5,1,F,TUNISIENNE,1,1-LSG-4,Redouble,10.72,-1.0,Nabeul
ID412,2001,Kelibia,2021,Lycee Abdel Aziz Khouja,3.0,MDSI,2021,Bac Economie,1-MDSI-3,1-MDSI-3,1,F,TUNISIENNE,4,3-LSG-2,Admis(e) - Passable,11.0,-1.0,Tunis
ID413,2005,Kelibia,2024,Lycee Abd Laaziz Belkhouja Kelibia Nabeul,0.0,LSG,2024,Bac Sciences,1-LSG-5,1-LSG-5,1,F,TUNISIENNE,1,External,Admis(e),10.8,-1.0,Nabeul
ID414,2002,Kelibia,2021,Lycee Kelibia,0.0,LBC,2021,Bac Sciences,3LBC-BIS-4,3LBC-BIS-4,3,M,TUNISIENNE,3,2-LBC-BIS4,Admis(e) - Passable,13.25,-1.0,Nabeul
ID415,2003,Menzah 6,2023,Lycee Tunis,0.0,LBC,2023,Bac Economie,2-LBC-3,2-LBC-3,2,M,TUNISIENNE,2,1-LBC-6,Admis(e) - Missing credits,11.01,-1.0,Ariana
ID416,2004,Tunis,2023,Lycee Sadiki,0.0,LBC,2024,Bac Economie,1-LBC-10,1-LBC-10,1,M,TUNISIENNE,1,External,Admis(e),10.17,-1.0,Tunis
ID417,2001,Le Bardo,2020,Lycee Sadiki,3.0,MDSI,2021,Bac Economie,1-MDSI-2,1-MDSI-2,1,F,TUNISIENNE,4,External,Admis(e),12.57,-1.0,Tunis
ID418,2000,Bèja,2021,Lycee Ibn El Haithem Beja,3.0,BA,2021,Bac Sciences,1-BA-4,1-BA-4,1,M,TUNISIENNE,4,3-LSG-5,Admis(e),10.0,-1.0,Tunis
ID419,2003,Le Kef,2022,Lycee Le Kef,0.0,LBC,2022,Bac Economie,3-LBC-BI-2,3-LBC-BI-2,3,M,TUNISIENNE,3,2-LBC-BI-2,Admis(e) - Passable,13.25,-1.0,Le Kef
ID420,2006,Tunis,2024,Lycee Menzah 6,0.0,LSG,2024,Bac Economie,1-LSG-5,1-LSG-5,1,M,TUNISIENNE,1,External,Admis(e),9.33,-1.0,Ariana
ID421,2004,Tunis,2023,Lycee Menzah 6,0.0,LSG,2024,Bac Economie,1-LSG-5,1-LSG-5,1,M,TUNISIENNE,1,External,Admis(e),12.07,-1.0,Ariana
ID422,2004,Menzel Temim,2023,Lycee 7 Avril 1943 Menzel Temime,1.0,LSG,2024,Bac Economie,1-LSG-4,1-LSG-4,1,F,TUNISIENNE,1,External,Admis(e),15.59,-1.0,Nabeul
ID423,2002,Tunis,2021,Lycee Djerba,0.0,LBC,2021,Bac Sciences,3-LBC-BI-1,3-LBC-BI-1,3,F,TUNISIENNE,3,2-LBC-BI-3,Admis(e) - Bien,12.74,-1.0,Médenine
ID424,2005,Tunis,2024,Lycee La Marsa,0.0,LBC,2024,Bac Economie,1-LBC-2,1-LBC-2,1,F,TUNISIENNE,1,External,Admis(e),10.03,-1.0,Tunis
ID425,2002,Beja,2023,Lycee Beja,0.0,LBC,2023,Bac Sciences,2-LBC-4,2-LBC-4,2,M,TUNISIENNE,2,1-LBC-7,Admis(e) - Passable,10.61,-1.0,Béja
ID426,2004,La Marsa,2024,Lycee Laaouina,0.0,LBC,2024,Bac Economie,1-LBC-4,1-LBC-4,1,M,TUNISIENNE,1,External,Admis(e),9.49,-1.0,Ariana
ID427,1999,Tunis,2020,Lycee Ettadhamen,3.0,MDSI,2023,Bac Sciences,1DSI-AS2-1,1DSI-AS2-1,1,F,TUNISIENNE,4,1DSI-AS1-1,Admis(e),10.27,-1.0,Ariana
ID428,1998,Tunis,2018,Lycee Hammam Lif,3.0,BA,2023,Bac Technique,2-BA-5,2-BA-5,2,M,TUNISIENNE,5,1-BA-5,Admis(e) - Missing credits,10.62,-1.0,Ben Arous
ID429,2004,Tunis,2024,Lyceee Mahmoud Messadi Le Bardo,0.0,LBC,2024,Bac Economie,1-LBC-9,1-LBC-9,1,F,TUNISIENNE,1,External,Admis(e),12.88,-1.0,Tunis
ID430,1998,Nabeul,2018,Lycee Nabeul,3.0,MDSI,2023,Bac Informatique,2-MDSI-3,2-MDSI-3,2,F,TUNISIENNE,5,1-MDSI-3,Admis(e) - Bien,11.22,-1.0,Nabeul
ID431,2004,Khorfakan,2022,Lycee Emirates  Arabe,0.0,LBC,2022,Bac Math,2-LBC-12,2-LBC-12,2,M,TUNISIENNE,2,1-LBC-2,Admis(e),16.3,-1.0,Tunis
ID432,1989,La Marsa,2009,Lycee Tunis,0.0,CCA,2023,Bac Sciences,2-MCCA-1,2-MCCA-1,2,F,TUNISIENNE,5,1-MCCA-1,Admis(e),10.88,57.34,Tunis
ID433,2000,Tunis,2019,Lycee Tunis,0.0,MDSI,2019,Bac Sciences,1-MDSI-1,1-MDSI-1,4,F,TUNISIENNE,3,External,Admis(e),10.5,61.27,Tunis
ID434,2005,Kairouan,2024,Lycee Privé De Carthage,0.0,LSG,2024,Bac Technique,1-LSG-5,1-LSG-5,1,M,TUNISIENNE,1,External,Admis(e),9.73,-1.0,Kairouan
ID435,2005,Tunis,2024,Lycee Institut Français De Tunis,1.0,LBC,2024,Bac Economie,1-LBC-8,1-LBC-8,1,F,TUNISIENNE,1,External,Admis(e),12.0,-1.0,Tunis
ID436,2005,Tunis,2024,Lycee Institut Français De Tunis,1.0,LBC,2024,Bac Economie,1-LBC-8,1-LBC-8,1,F,TUNISIENNE,1,External,Admis(e),12.3,-1.0,Tunis
ID437,2003,Tunis,2023,Lycee Boumhal,0.0,LBC,2023,Bac Economie,2-LBC-3,2-LBC-3,2,M,TUNISIENNE,2,1-LBC-6,Admis(e) - Missing credits,9.48,-1.0,Ben Arous
ID438,2002,Tunis,2021,Lycee Tunis,3.0,BA,2021,Bac Economie,1-BA-2,1-BA-2,1,F,TUNISIENNE,4,External,Admis(e),10.61,-1.0,Tunis
ID439,2002,Sfax,2020,Lycee Riyadh,0.0,LBC,2020,Bac Math,3LBC-BIS-3,3LBC-BIS-3,3,F,TUNISIENNE,3,2-LBC-BIS3,Admis(e) - Bien,16.0,-1.0,Sfax
ID440,2004,Menzah 6,2023,Lycee Menzah 9,0.0,LBC,2024,Bac Economie,1-LBC-8,1-LBC-8,1,M,TUNISIENNE,1,External,Admis(e),11.45,-1.0,Ariana
ID441,2004,Gabès,2023,Lycee Gabès,0.0,LBC,2023,Bac Sciences,2-LBC-2,2-LBC-2,2,M,TUNISIENNE,2,1-LBC-5,Admis(e) - Bien,11.02,-1.0,Gabès
ID442,1993,Tunis,2013,Lycee Tunis,0.0,LSG,2013,Bac Economie,3-LSC-1,3-LSC-1,3,F,TUNISIENNE,3,2-LSC-1,Admis(e) - Passable,9.33,-1.0,Ariana
ID443,2002,Marsa,2020,Lycee Borj Louzir Ariana,0.0,LSG,2020,Bac Economie,3-LSG-2,3-LSG-2,3,F,TUNISIENNE,3,2-LSG-2,Admis(e) - Passable,10.69,-1.0,Ariana
ID444,2004,Kebili,2024,Lycee Secondaore Kebili Souk Lahad,0.0,LBC,2024,Bac Sciences,1-LBC-4,1-LBC-4,1,F,TUNISIENNE,1,External,Admis(e),10.31,-1.0,Ariana
ID445,2001,Tunis,2021,Lycee Privée El Menzah,3.0,BA,2021,Bac Economie,1-BA-5,1-BA-5,1,M,TUNISIENNE,4,3-LSG-6,Admis(e) - Passable,11.0,-1.0,Tunis
ID446,2003,Kelibia,2022,Lycee Kelibia,0.0,LSG,2022,Bac Economie,3-LSG-3,3-LSG-3,3,M,TUNISIENNE,3,2-LSG-3,Admis(e) - Passable,9.39,-1.0,Nabeul
ID447,2000,Al Aïn,2020,Lycee Pilote Gabes,3.0,MDSI,2023,Bac Sciences,2-MDSI-5,2-MDSI-5,2,F,TUNISIENNE,5,2-DSI-A3-1,Admis(e) - Bien,15.0,-1.0,Tunis
ID448,2005,Tunis,2024,Lycee Seondaire Menzah 9,0.0,LBC,2024,Bac Economie,1-LBC-7,1-LBC-7,1,M,TUNISIENNE,1,External,Admis(e),12.13,-1.0,Tunis
ID449,1998,Tunis,2022,Lycee Beit Alhekma Menzah5,0.0,LSG,2022,Bac Economie,3-LSG-5,3-LSG-5,3,F,TUNISIENNE,3,2-LSG-5,Admis(e) - Passable,10.0,-1.0,Tunis
ID450,2005,Hammem Lif,2024,Lycee Sondaire Béchir Nabheni,0.0,LSG,2024,Bac Sciences,1-LSG-6,1-LSG-6,1,F,TUNISIENNE,1,External,Admis(e),10.55,-1.0,Ben Arous
ID451,1997,Tunis,2016,Lycee Ariana,3.0,BA,2023,Bac Economie,2-BA-2,2-BA-2,2,M,TUNISIENNE,5,1-BA-2,Admis(e) - Passable,10.72,-1.0,Ariana
ID452,2002,Bizerte,2021,Lycee El Aila,0.0,LSG,2021,Bac Sciences,3-LSC-2,3-LSC-2,3,F,TUNISIENNE,3,2-LSC-1,Admis(e) - Bien,15.83,-1.0,Bizerte
ID453,2004,Djerba,2023,Lycee El Mey Djerba,0.0,LSG,2023,Bac Economie,2-LSG-1,2-LSG-1,2,F,TUNISIENNE,2,1-LSG-1,Admis(e) - Bien,10.13,-1.0,Médenine
ID454,2005,Ezzahra,2024,Lycee Taha Hussien Megrine,0.0,LBC,2024,Bac Sciences,1-LBC-10,1-LBC-10,1,M,TUNISIENNE,1,External,Admis(e),11.25,-1.0,Ben Arous
ID455,2004,Ezzahra,2023,Lycee Tunis,0.0,LBC,2023,Bac Economie,2-LBC-4,2-LBC-4,2,F,TUNISIENNE,2,1-LBC-7,Admis(e) - Passable,9.76,-1.0,Ben Arous
ID456,2004,Tunis,2022,Lycee Tebourba,0.0,LSG,2022,Bac Math,3-LSC-2,3-LSC-2,3,M,TUNISIENNE,3,2-LSC-2,Admis(e) - Bien,12.49,-1.0,La Manouba
ID457,1998,Zahra,2021,Lycee Tunis,3.0,BA,2021,Bac Economie,1-BA-5,1-BA-5,1,M,TUNISIENNE,4,3LBC-BIS-5,Admis(e) - Bien,11.0,-1.0,Tunis
ID458,2003,Bizerte,2022,Lycee Bizerte,0.0,LBC,2022,Bac Math,3-LBC-BI-2,3-LBC-BI-2,3,M,TUNISIENNE,3,2-LBC-BI-3,Admis(e),10.21,-1.0,Bizerte
ID459,1997,Bizerte,2017,Lycee Ras Djebel,3.0,MKD,2021,Bac Informatique,1-MKD-1,1-MKD-1,1,M,TUNISIENNE,4,External,Admis(e),11.01,-1.0,Bizerte
ID460,2002,Chebba Mahdia,2021,Lycee Chebba,0.0,LSG,2021,Bac Technique,3-LSG-6,3-LSG-6,3,F,TUNISIENNE,3,2-LSG-2,Admis(e) - Bien,10.92,-1.0,Mahdia
ID461,1997,Tunis,2017,Lycee Tunis,0.0,BA,2023,Bac Sciences,2-BA-5,2-BA-5,2,M,TUNISIENNE,5,1-BA-5,Admis(e) - Bien,10.92,49.6,Tunis
ID462,2003,Mauritania,2022,Lycee Nouakchott,1.0,LSG,2022,Bac Math,2-LSC-2,2-LSC-2,2,F,MAURITANIENNE,2,1-LSC-2,Admis(e),10.7,-1.0,Foreign
ID463,2004,Bizerte,2023,Lycee Jeune Fille Bizerte,0.0,LSG,2023,Bac Sciences,2-LSC-1,2-LSC-1,2,F,TUNISIENNE,2,1-LSG-4,Admis(e) - Bien,11.14,-1.0,Bizerte
ID464,2004,Kalaat El Andoous,2023,Lycee Kalaat El Andalous,0.0,LBC,2023,Bac Economie,2-LBC-9,2-LBC-9,2,M,TUNISIENNE,2,1-LBC-16,Admis(e) - Passable,10.54,-1.0,Ariana
ID465,1997,Tunis,2016,Lycee Tunis,3.0,BA,2023,Bac Math,2-BA-2,2-BA-2,2,F,TUNISIENNE,5,1-BA-2,Admis(e) - Bien,11.0,-1.0,Tunis
ID466,2001,Nabeul,2020,Lycee Dar Chaaben El Fehri Nabeul,3.0,MDSI,2023,Bac Economie,2-MDSI-2,2-MDSI-2,2,F,TUNISIENNE,5,1-MDSI-2,Admis(e) - Bien,10.54,-1.0,Nabeul
ID467,2003,Nabeul,2023,Lycee City Elboustene Kélibia,0.0,LSG,2023,Bac Economie,2-LSG-5,2-LSG-5,2,F,TUNISIENNE,2,1-LSG-5,Admis(e) - Passable,9.2,-1.0,Nabeul
ID468,2003,Kalaat Andalos,2024,Lycee Kalaat Andalos,0.0,LBC,2024,Bac Economie,1-LBC-5,1-LBC-5,1,F,TUNISIENNE,1,External,Admis(e),11.0,-1.0,Ariana
ID469,1997,Tunis,2020,Lycee 2 Mars La Goulette,3.0,MDSI,2023,Bac Math,2-MDSI-5,2-MDSI-5,2,F,TUNISIENNE,5,2-DSI-A3-1,Admis(e) - Passable,10.0,-1.0,Tunis
ID470,2004,Menzel Temim,2023,Lycee Menzel Tmim,0.0,LBC,2023,Bac Sciences,2-LBC-10,2-LBC-10,2,F,TUNISIENNE,2,1-LBC-13,Admis(e) - Bien,11.06,-1.0,Nabeul
ID471,2003,Tunis,2022,Lycee Ariana,0.0,LBC,2022,Bac Economie,3-LBC-BI-2,3-LBC-BI-2,3,F,TUNISIENNE,3,2-LBC-BI-2,Admis(e),10.56,-1.0,Ariana
ID472,2003,Kef,2023,Lycee Kef,0.0,LSG,2023,Bac Economie,1-LSG-6,1-LSG-6,1,M,TUNISIENNE,1,External,Admis(e),10.0,-1.0,Le Kef
ID473,2003,Tunis,2022,Lycee Hammouda Pacha La Manouba,0.0,LBC,2023,Bac Economie,2-LBC-3,2-LBC-3,2,F,TUNISIENNE,2,1-LBC-6,Admis(e) - Passable,10.54,-1.0,La Manouba
ID474,1999,Tunis,2022,Lycee Al Imem Moslem Menzah 1 Tunis,0.0,LBC,2024,Bac Economie,1-LBC-14,1-LBC-14,1,M,TUNISIENNE,1,External,Admis(e),9.46,-1.0,Ariana
ID475,2004,Marsa,2023,Lycee Ariana,0.0,LSG,2024,Bac Economie,1-LSG-4,1-LSG-4,1,M,TUNISIENNE,1,External,Admis(e),10.55,-1.0,Ariana
ID476,2005,Tunis,2024,Lycee Omrane El Aala,0.0,LBC,2024,Bac Economie,1-LBC-7,1-LBC-7,1,M,TUNISIENNE,1,External,Admis(e),11.89,-1.0,Tunis
ID477,1999,La Marsa,2022,Lycee Tunis,0.0,LBC,2022,Bac Informatique,3LBC-BIS-3,3LBC-BIS-3,3,M,TUNISIENNE,3,2-LBC-BIS3,Admis(e) - Passable,11.19,-1.0,Tunis
ID478,2001,Tunis,2021,Lycee Tunis,3.0,BA,2021,Autre Bac,1-BA-7,1-BA-7,1,F,TUNISIENNE,4,External,Admis(e),10.08,-1.0,Tunis
